entry_utc,close_utc,direction,coin,leverage,roi_pct,actual_pnl,reversal_warning,blocked,sim_pnl,reason,day
2026-04-14 23:40,2026-04-15 02:40,SHORT,XRP,8,4.5,13.51,,NO,13.51,TARGET_HIT,2026-04-15
2026-04-15 00:06,2026-04-15 03:07,SHORT,ADA,8,4.0,11.88,,NO,11.88,TARGET_HIT,2026-04-15
2026-04-15 03:33,2026-04-15 05:02,SHORT,ADA,8,-6.0,-23.34,,NO,-23.34,STOP_LOSS,2026-04-15
2026-04-15 02:13,2026-04-15 05:13,SHORT,PENDLE,8,1.0,0.39,,NO,0.39,TARGET_HIT,2026-04-15
2026-04-15 02:26,2026-04-15 05:26,LONG,BTC,8,-3.5,-14.55,,NO,-14.55,STOP_LOSS,2026-04-15
2026-04-15 02:31,2026-04-15 05:32,LONG,AVAX,8,4.0,12.08,,NO,12.08,TARGET_HIT,2026-04-15
2026-04-15 04:12,2026-04-15 05:33,LONG,CRV,8,-5.9,-23.82,,NO,-23.82,STOP_LOSS,2026-04-15
2026-04-15 03:56,2026-04-15 06:57,SHORT,LINK,8,3.1,8.78,,NO,8.78,TARGET_HIT,2026-04-15
2026-04-15 21:16,2026-04-15 21:16,SHORT,CAKE,8,8.2,25.55,,NO,25.55,TARGET_HIT,2026-04-15
2026-04-15 21:16,2026-04-15 21:16,LONG,AVAX,8,-7.7,-30.53,,NO,-30.53,STOP_LOSS,2026-04-15
2026-04-15 21:21,2026-04-15 21:21,LONG,SUI,8,-8.6,-33.47,,NO,-33.47,STOP_LOSS,2026-04-15
2026-04-15 05:22,2026-04-15 21:27,LONG,BNB,8,0.8,0.6,,NO,0.6,TARGET_HIT,2026-04-15
2026-04-15 21:27,2026-04-15 21:27,LONG,WLD,8,-0.3,-4.05,,NO,-4.05,STOP_LOSS,2026-04-15
2026-04-15 21:16,2026-04-15 21:27,LONG,ETH,8,-1.0,-6.48,,NO,-6.48,STOP_LOSS,2026-04-15
2026-04-15 21:16,2026-04-15 21:27,LONG,BTC,8,-0.4,-4.43,,NO,-4.43,STOP_LOSS,2026-04-15
