entry_utc,coin,direction,leverage,entry_price,actual_sl,actual_tp,margin,actual_roi%,actual_pnl,actual_exit,sim_status,new_sl,new_tp,opt_sl_mult,opt_rr,opt_hold_1h,atr,sim_roi%,sim_pnl,sim_exit,block_reason,news_hold
2026-04-16 05:36 UTC,ADA,LONG,8,0.2497,0.2477,0.2537,353.23,-4.5,-15.84,TIME_EXIT,EXECUTED,0.247935,0.254113,0.7,2.5,8,0.002521,-5.65,-22.24,STOP_LOSS,,False
2026-04-16 05:36 UTC,LINK,LONG,8,9.312,9.2573,9.4214,351.53,-4.7,-19.69,STOP_LOSS,EXECUTED,9.274857,9.404857,0.5,2.5,12,0.074286,-3.19,-13.47,STOP_LOSS,,False
2026-04-16 05:36 UTC,AVAX,LONG,8,9.487,9.4199,9.6213,352.2,-2.7,-9.5,TIME_EXIT,EXECUTED,9.4265,9.63825,0.7,2.5,16,0.086429,-5.1,-20.22,STOP_LOSS,,False
2026-04-16 05:36 UTC,BTC,LONG,8,74998.5,74647.1686,75701.1628,356.24,-3.8,-16.5,STOP_LOSS,EXECUTED,74548.990714,75672.763929,1.0,1.5,16,449.509286,-4.79,-19.36,STOP_LOSS,,False
2026-04-16 06:58 UTC,LDO,LONG,7,0.3861,0.38,0.3983,349.97,-9.9,-37.43,STOP_LOSS,EXECUTED,0.3786,0.39735,1.0,1.5,16,0.0075,20.4,69.42,TARGET_HIT,,False
2026-04-16 08:43 UTC,POL,SHORT,8,0.0869,0.0874,0.0858,349.99,-4.8,-20.25,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.8% 1d=+0.8% -> no SHORT,False
2026-04-16 08:47 UTC,PENDLE,SHORT,8,1.1622,1.1745,1.1376,349.97,-8.4,-31.51,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.8% 1d=+0.8% -> no SHORT,False
2026-04-16 09:13 UTC,UNI,SHORT,7,3.264,3.2849,3.2223,349.71,-3.9,-16.2,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.3% 1d=+0.8% -> no SHORT,False
2026-04-16 10:04 UTC,ETH,LONG,8,2335.0,2322.0669,2360.8663,350.25,-2.0,-7.0,PROFI_EXIT,EXECUTED,2326.361286,2345.366457,0.6,1.2,4,14.397857,3.55,10.2,TARGET_HIT,,False
2026-04-16 10:13 UTC,XRP,SHORT,8,1.4098,1.4184,1.3926,350.86,-4.8,-20.02,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.3% 1d=+0.6% -> no SHORT,False
2026-04-16 10:13 UTC,BNB,SHORT,8,619.4,621.5879,615.0242,348.41,-2.7,-12.52,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.3% 1d=+0.6% -> no SHORT,False
2026-04-16 10:13 UTC,CRV,SHORT,8,0.222,0.2233,0.2194,348.73,-4.3,-18.16,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.3% 1d=+0.6% -> no SHORT,False
2026-04-16 10:13 UTC,LDO,SHORT,7,0.3884,0.3939,0.3773,350.23,-2.5,-8.68,NEWS_REACTION,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.3% 1d=+0.6% -> no SHORT,False
2026-04-16 10:13 UTC,LINK,SHORT,8,9.229,9.2869,9.1131,349.55,-5.1,-20.96,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.3% 1d=+0.6% -> no SHORT,False
2026-04-16 11:15 UTC,BTC,SHORT,8,74290.0,74595.1026,73679.7948,352.88,-3.3,-13.81,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.8% 1d=+0.5% -> no SHORT,False
2026-04-16 11:30 UTC,AVAX,SHORT,8,9.42,9.4888,9.2823,349.72,-5.9,-22.6,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.8% 1d=+0.5% -> no SHORT,False
2026-04-16 12:04 UTC,SOL,SHORT,8,85.27,85.7218,84.3663,349.61,-4.0,-17.03,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.7% 1d=+0.5% -> no SHORT,False
2026-04-16 12:06 UTC,ADA,SHORT,8,0.2496,0.2515,0.2458,349.97,-6.1,-23.42,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.7% 1d=+0.5% -> no SHORT,False
2026-04-16 12:13 UTC,PENDLE,LONG,8,1.1669,1.1545,1.1916,353.57,16.9,56.73,TARGET_HIT,EXECUTED,1.153471,1.200471,0.8,2.5,12,0.016786,23.02,79.11,TARGET_HIT,,False
2026-04-16 12:13 UTC,POL,LONG,8,0.0879,0.0873,0.0889,355.17,0.6,2.26,NEWS_REACTION,EXECUTED,0.087094,0.088867,1.2,1.2,16,0.000671,8.8,28.98,TARGET_HIT,,True
2026-04-16 13:58 UTC,POL,SHORT,7,0.0875,0.088,0.0864,353.62,0.8,0.11,TARGET_HIT,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.2% 1d=-0.4% -> no SHORT,False
2026-04-16 13:58 UTC,CRV,SHORT,8,0.2253,0.2269,0.2221,349.21,1.8,6.2,NEWS_REACTION,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.2% 1d=-0.4% -> no SHORT,False
2026-04-16 13:58 UTC,LDO,SHORT,7,0.3968,0.4032,0.3841,351.39,-2.5,-11.39,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.2% 1d=-0.4% -> no SHORT,False
2026-04-16 13:58 UTC,PENDLE,SHORT,7,1.1664,1.1806,1.138,348.92,0.2,0.63,NEWS_REACTION,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.2% 1d=-0.4% -> no SHORT,False
2026-04-16 13:58 UTC,SOL,SHORT,8,84.4,84.8246,83.5508,350.26,1.7,5.87,NEWS_REACTION,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.2% 1d=-0.4% -> no SHORT,False
2026-04-16 13:58 UTC,ETH,SHORT,8,2303.53,2314.047,2282.4959,345.53,-0.2,-0.65,NEWS_REACTION,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.2% 1d=-0.4% -> no SHORT,False
2026-04-16 14:36 UTC,CRV,SHORT,8,0.2242,0.2261,0.2204,349.98,-4.3,-18.08,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.0% 1d=-0.2% -> no SHORT,False
2026-04-16 14:36 UTC,BNB,SHORT,8,617.5,619.9926,612.5149,347.34,-2.7,-12.51,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.0% 1d=-0.2% -> no SHORT,False
2026-04-16 14:36 UTC,UNI,SHORT,8,3.264,3.2919,3.2082,349.66,-3.2,-14.24,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.0% 1d=-0.2% -> no SHORT,False
2026-04-16 14:36 UTC,BTC,SHORT,8,73921.9,74295.148,73175.4041,351.13,-4.1,-17.47,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.0% 1d=-0.2% -> no SHORT,False
2026-04-16 14:38 UTC,AVAX,SHORT,8,9.35,9.4372,9.1757,349.46,-7.4,-28.12,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.0% 1d=-0.2% -> no SHORT,False
2026-04-16 15:08 UTC,LINK,SHORT,8,9.277,9.3525,9.1259,349.05,-3.6,-12.64,PROFI_EXIT,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+3.5% 1d=+1.2% -> no SHORT,False
2026-04-16 15:53 UTC,ADA,LONG,8,0.2529,0.2505,0.2578,355.17,5.7,20.22,NEWS_REACTION,EXECUTED,0.250725,0.258337,0.7,2.5,8,0.003107,-6.88,-26.71,STOP_LOSS,,True
2026-04-16 15:53 UTC,SOL,LONG,8,86.62,85.9604,87.9393,352.98,1.7,2.52,TARGET_HIT,EXECUTED,85.964,87.932,0.8,2.0,16,0.82,-6.06,-23.64,STOP_LOSS,,False
2026-04-16 15:53 UTC,AVAX,LONG,8,9.586,9.4896,9.7788,354.68,1.4,5.03,NEWS_REACTION,EXECUTED,9.5,9.801,0.7,2.5,16,0.122857,-7.18,-27.73,STOP_LOSS,,True
2026-04-16 15:53 UTC,LINK,LONG,8,9.418,9.3319,9.5901,353.17,2.7,9.6,NEWS_REACTION,EXECUTED,9.363357,9.554607,0.5,2.5,12,0.109286,-4.64,-18.65,STOP_LOSS,,True
2026-04-16 15:53 UTC,BNB,LONG,8,624.4,621.4761,630.2478,351.22,3.3,11.7,NEWS_REACTION,EXECUTED,622.571786,628.056429,0.5,2.0,12,3.656429,4.68,14.21,TARGET_HIT,,True
2026-04-16 15:54 UTC,PENDLE,LONG,7,1.2129,1.1944,1.2499,361.62,0.8,2.92,NEWS_REACTION,EXECUTED,1.194329,1.259329,0.8,2.5,12,0.023214,26.8,94.87,TARGET_HIT,,True
2026-04-16 15:54 UTC,POL,LONG,8,0.0885,0.0878,0.09,352.94,0.8,2.87,NEWS_REACTION,EXECUTED,0.087429,0.089786,1.2,1.2,16,0.000893,11.62,38.76,TARGET_HIT,,True
2026-04-16 15:54 UTC,ETH,LONG,8,2338.32,2322.566,2369.8281,350.75,0.7,2.32,NEWS_REACTION,EXECUTED,2326.395,2352.63,0.6,1.2,4,19.875,-4.08,-16.55,STOP_LOSS,,True
2026-04-16 17:46 UTC,AVAX,LONG,8,9.53,9.4276,9.7348,349.04,17.7,58.72,TARGET_HIT,EXECUTED,9.4365,9.76375,0.7,2.5,16,0.133571,19.62,66.26,TARGET_HIT,,False
2026-04-16 20:19 UTC,LTC,LONG,8,56.24,55.8937,56.9326,350.09,-5.0,-19.52,STOP_LOSS,BLOCKED_BAD_COIN,,,,,,,0.0,0.0,,LTC in BAD_COINS,False
