system,coin,direction,entry_ts,entry_price,exit_price,exit_ts,exit_type,sl_pct,tp_pct,pnl_pct,pnl_dollar,bars_held,regime,date
1H,AVAX,LONG,1775908800,9.261796875,9.221796875,1775912400,SL,0.004318816374387379,0.008637632748774758,-0.004318816374387302,-0.8637632748774604,2,BULL,2026-04-11
4H,XLM,LONG,1775908800,0.1545,0.15355714285714286,1775912400,SL,0.006102635228848826,0.006102635228848826,-0.006102635228848765,-1.220527045769753,2,BULL,2026-04-11
4H,NEAR,LONG,1775908800,1.368,1.3554857142857144,1775908800,SL,0.00914786967418547,0.016466165413533847,-0.009147869674185452,-1.8295739348370903,1,BULL,2026-04-11
4H,AVAX,LONG,1775908800,9.35,9.315,1775908800,SL,0.003743315508021377,0.009358288770053442,-0.003743315508021406,-0.7486631016042812,1,BULL,2026-04-11
1H,NEAR,LONG,1775919600,1.368,1.3596571428571431,1775919600,SL,0.0060985797827903055,0.012197159565580611,-0.006098579782790194,-1.2197159565580387,1,BULL,2026-04-11
1H,APT,LONG,1775919600,0.856,0.8506857142857143,1775919600,SL,0.006208277703604812,0.012416555407209625,-0.006208277703604808,-1.2416555407209615,1,BULL,2026-04-11
1H,PENDLE,LONG,1775919600,1.093,1.0842571428571428,1775919600,SL,0.007998954385047718,0.015997908770095437,-0.007998954385047725,-1.599790877009545,1,BULL,2026-04-11
1H,ETH,LONG,1775919600,2249.9025,2242.3562142857145,1775919600,SL,0.0033540501040759834,0.006708100208151967,-0.003354050104075914,-0.6708100208151828,1,BULL,2026-04-11
1H,AVAX,LONG,1775919600,9.35,9.306000000000001,1775919600,SL,0.004705882352941163,0.009411764705882326,-0.004705882352941038,-0.9411764705882076,1,BULL,2026-04-11
1H,UNI,LONG,1775919600,3.1537187500000003,3.139775892857143,1775919600,SL,0.004421084518984836,0.008842169037969671,-0.004421084518984851,-0.8842169037969703,1,BULL,2026-04-11
1H,SOL,LONG,1775919600,84.98546875,84.62375446428571,1775919600,SL,0.004256189805557629,0.008512379611115258,-0.004256189805557614,-0.8512379611115228,1,BULL,2026-04-11
1H,BNB,LONG,1775919600,604.0140234375,607.0277377232142,1775923200,TP,0.002494738672260388,0.004989477344520776,0.004989477344520652,0.9978954689041305,2,BULL,2026-04-11
4H,ADA,LONG,1775923200,0.25429999999999997,0.25315999999999994,1775923200,SL,0.004482894219425905,0.011207235548564762,-0.004482894219425993,-0.8965788438851987,1,BULL,2026-04-11
4H,LINK,LONG,1775923200,9.274999999999999,9.247857142857141,1775923200,SL,0.0029264536003080267,0.0073161340007700665,-0.002926453600308095,-0.5852907200616191,1,BULL,2026-04-11
4H,SOL,LONG,1775923200,85.95,85.562,1775923200,SL,0.00451425247236767,0.00902850494473534,-0.004514252472367716,-0.9028504944735432,1,BULL,2026-04-11
4H,APT,LONG,1775923200,0.878,0.8715714285714286,1775923200,SL,0.007321835340058582,0.013179303612105448,-0.007321835340058599,-1.4643670680117198,1,BULL,2026-04-11
4H,POL,LONG,1775923200,0.0860956298828125,0.08524705845424108,1775926800,SL,0.009856149838574189,0.011827379806289026,-0.009856149838574134,-1.9712299677148266,2,BULL,2026-04-11
