trade_idx,id,source,coin,direction,entry_time,pnl_usd,win,macro,ema_4h,coin_wr,entry_dist,rsi_ok,ob_confirms,funding_contrarian,score,n_valid_factors
20,21,okx,BTC,LONG,2026-04-11 20:10:50.069479+00:00,-21.212600000001068,0,1,1.0,,1,1.0,,,4,4
21,22,okx,DOT,LONG,2026-04-11 20:48:33.571974+00:00,25.445000000001233,1,1,1.0,0.0,1,1.0,,,4,5
22,23,okx,AAVE,SHORT,2026-04-11 20:48:35.149819+00:00,-34.44000000000014,0,0,0.0,,1,1.0,,,2,4
23,24,okx,DOT,LONG,2026-04-11 20:55:57.107911+00:00,-101.38000000000234,0,1,1.0,0.0,1,1.0,,,4,5
24,25,okx,POL,LONG,2026-04-11 20:55:58.687022+00:00,-42.94682000000038,0,1,0.0,0.0,1,1.0,,,3,5
25,26,okx,TAO,LONG,2026-04-11 20:56:00.252213+00:00,-91.67500000000439,0,1,0.0,,1,1.0,,,3,4
26,29,okx,DOT,LONG,2026-04-11 21:12:56.067803+00:00,-27.58859999999696,0,1,1.0,0.0,1,1.0,,,4,5
27,30,okx,POL,LONG,2026-04-11 21:12:57.639762+00:00,0.0,0,1,0.0,0.0,1,1.0,,,3,5
28,27,okx,TAO,LONG,2026-04-11 21:12:59.215308+00:00,39.38999999999862,1,1,0.0,,1,1.0,,,3,4
29,28,okx,TAO,LONG,2026-04-11 21:12:59.215308+00:00,39.38999999999862,1,1,0.0,,1,1.0,,,3,4
30,31,okx,POL,SHORT,2026-04-11 21:25:24.460065+00:00,-19.21500000000144,0,0,1.0,0.0,1,1.0,,,3,5
31,32,okx,TAO,SHORT,2026-04-11 21:25:24.460668+00:00,-123.21999999999701,0,0,1.0,1.0,1,1.0,,,4,5
32,33,okx,OP,LONG,2026-04-11 21:25:24.460789+00:00,35.80139999999937,1,1,1.0,1.0,1,1.0,,,5,5
33,34,okx,TAO,LONG,2026-04-11 21:34:45.691724+00:00,214.12000000000046,1,1,0.0,0.0,1,1.0,,,3,5
34,35,okx,POL,LONG,2026-04-11 21:34:45.691859+00:00,64.05000000000183,1,1,0.0,0.0,1,1.0,,,3,5
35,36,okx,DOT,LONG,2026-04-11 21:39:59.209501+00:00,76.266000000001,1,1,1.0,0.0,1,1.0,,,4,5
36,37,okx,TAO,SHORT,2026-04-11 21:50:08.215056+00:00,-349.45999999999793,0,0,1.0,1.0,1,1.0,,,4,5
37,38,okx,TAO,LONG,2026-04-11 21:55:09.317792+00:00,38.37999999999954,1,1,0.0,0.0,1,1.0,,,3,5
38,42,okx,POL,SHORT,2026-04-11 21:59:05.215926+00:00,195.35250000000426,1,0,1.0,0.0,1,1.0,,,3,5
39,39,okx,TAO,LONG,2026-04-11 22:04:11.666276+00:00,145.43999999999977,1,1,0.0,1.0,1,1.0,,,4,5
40,40,okx,TAO,SHORT,2026-04-11 22:19:30.130977+00:00,59.589999999997474,1,0,1.0,1.0,1,1.0,,,4,5
41,41,okx,TAO,LONG,2026-04-11 22:24:32.142722+00:00,41.41000000000253,1,1,0.0,1.0,1,1.0,,,4,5
42,43,okx,TAO,SHORT,2026-04-11 22:34:20.828910+00:00,40.3999999999977,1,0,1.0,1.0,1,1.0,,,4,5
43,44,okx,TAO,LONG,2026-04-11 23:02:24.808826+00:00,-422.1800000000007,0,1,0.0,1.0,1,1.0,,,4,5
44,45,okx,POL,LONG,2026-04-11 23:02:24.808952+00:00,-76.85999999999687,0,1,0.0,0.0,1,1.0,,,3,5
45,46,okx,DOT,LONG,2026-04-11 23:07:54.409766+00:00,-25.633600000000733,0,1,1.0,0.0,1,1.0,,,4,5
46,47,okx,CRV,SHORT,2026-04-11 23:08:01.168591+00:00,18.728400000000537,1,0,0.0,,1,1.0,,,2,4
47,49,okx,POL,SHORT,2026-04-11 23:08:32.757283+00:00,-115.28999999999975,0,0,1.0,0.0,1,1.0,,,3,5
48,48,okx,TAO,SHORT,2026-04-11 23:08:32.757588+00:00,48.479999999996096,1,0,1.0,1.0,1,1.0,,,4,5
49,50,okx,TAO,LONG,2026-04-11 23:18:10.593984+00:00,-112.11000000000138,0,1,0.0,1.0,1,1.0,,,4,5
50,55,okx,DOT,LONG,2026-04-11 23:35:12.449368+00:00,-512.0543999999983,0,1,1.0,0.0,1,1.0,,,4,5
51,52,okx,AAVE,SHORT,2026-04-11 23:35:19.260409+00:00,78.4899999999998,1,0,0.0,0.0,1,1.0,,,2,5
52,51,okx,TAO,LONG,2026-04-12 00:05:17.834124+00:00,40.55999999999858,1,1,0.0,1.0,1,1.0,,,4,5
53,53,okx,AAVE,SHORT,2026-04-12 00:25:19.411974+00:00,71.80999999999877,1,0,0.0,0.0,1,1.0,,,2,5
54,54,okx,AAVE,LONG,2026-04-12 00:35:09.608619+00:00,-631.2600000000002,0,1,1.0,1.0,1,1.0,,,5,5
55,56,okx,AAVE,SHORT,2026-04-12 03:37:32.753452+00:00,26.910000000002,1,0,0.0,0.0,1,1.0,,,2,5
56,57,okx,AVAX,SHORT,2026-04-12 03:37:39.525639+00:00,24.624000000000937,1,0,0.0,,1,1.0,,,2,4
57,58,okx,DOGE,SHORT,2026-04-12 03:37:46.273788+00:00,-32.753919999998665,0,0,1.0,,1,1.0,,,3,4
58,59,okx,AVAX,SHORT,2026-04-12 06:58:49.193560+00:00,85.1750000000012,1,0,1.0,,1,1.0,,,3,4
