trade_id,coin,direction,leverage,entry_price,sl,tp,margin,fill_time_utc,close_time_utc,hold_minutes,exit_reason,roi_pct,pnl,peak_roi,peak_time_utc,peak_minutes,worst_roi,tp_target_roi,tp_distance_reached_pct,would_hit_tp_after_sl,category,category_desc,trailing_roi,trailing_pnl,trailing_saved
55,LDO,SHORT,7,0.3884,0.3939,0.3773,350.23,2026-04-16 10:13,2026-04-16 10:25,12,STOP_LOSS,-9.9,-37.43,6.49,2026-04-16 10:00,-14,-19.28,20.01,32.4,False,B,COULD-HAVE-WON (trailing would save),3.24,11.36,48.79
56,CRV,SHORT,8,0.222,0.2233,0.2194,348.73,2026-04-16 10:13,2026-04-16 10:28,15,STOP_LOSS,-4.3,-18.16,2.88,2026-04-16 10:00,-13,-9.37,9.37,30.8,False,E,TOO WIDE TP (tighter TP captures),,,
57,ETH,LONG,8,2335.0,2322.0669,2360.8663,350.25,2026-04-16 10:04,2026-04-16 11:13,69,PROFI_EXIT,-2.0,-7.0,4.95,2026-04-16 12:00,116,-2.18,8.86,55.9,False,G,TIME_EXIT LOST (loss),,,
58,BTC,SHORT,8,74290.0,74595.1026,73679.7948,352.88,2026-04-16 11:15,2026-04-16 12:01,46,STOP_LOSS,-3.3,-13.81,10.55,2026-04-16 13:00,105,-7.97,6.57,100,True,B,COULD-HAVE-WON (trailing would save),5.28,18.62,32.43
59,LINK,SHORT,8,9.229,9.2869,9.1131,349.55,2026-04-16 10:13,2026-04-16 12:01,108,STOP_LOSS,-5.1,-20.96,6.85,2026-04-16 13:00,166,-18.29,10.05,68.2,True,B,COULD-HAVE-WON (trailing would save),3.42,11.97,32.93
60,AVAX,SHORT,8,9.42,9.4888,9.2823,349.72,2026-04-16 11:30,2026-04-16 12:03,32,STOP_LOSS,-5.9,-22.6,9.34,2026-04-16 13:00,89,-16.99,11.69,79.9,True,B,COULD-HAVE-WON (trailing would save),1.7,5.94,28.54
61,XRP,SHORT,8,1.4098,1.4184,1.3926,350.86,2026-04-16 10:13,2026-04-16 12:11,118,STOP_LOSS,-4.8,-20.02,6.02,2026-04-16 13:00,167,-13.85,9.76,61.6,False,B,COULD-HAVE-WON (trailing would save),2.33,8.16,28.18
62,BNB,SHORT,8,619.4,621.5879,615.0242,348.41,2026-04-16 10:13,2026-04-16 12:11,118,STOP_LOSS,-2.7,-12.52,5.82,2026-04-16 13:00,167,-5.92,5.65,100,True,B,COULD-HAVE-WON (trailing would save),2.91,10.15,22.67
63,UNI,SHORT,7,3.264,3.2849,3.2223,349.71,2026-04-16 09:13,2026-04-16 12:11,178,STOP_LOSS,-3.9,-16.2,5.58,2026-04-16 11:00,106,-25.09,8.94,62.4,False,B,COULD-HAVE-WON (trailing would save),1.82,6.37,22.57
64,PENDLE,LONG,8,1.1669,1.1545,1.1916,353.57,2026-04-16 12:13,2026-04-16 13:30,77,TARGET_HIT,16.9,56.73,28.86,2026-04-16 13:00,46,-12.96,16.93,100,False,A,WINNER (TP hit),,,
