trade_id,coin,direction,filled_at,fill_price,pnl_usd,pnl_pct,exit_reason,is_win,profi_conf,macro,ema_4h,ob,funding,rsi,coin_wr,entry_dist,checklist_score,checklist_pct,rsi_value,btc_7d_pct
cd8ea816,DOGE,SHORT,2026-04-14T16:09:51.616915+00:00,0.0959,3.08535679,0.00625651720542235,TARGET_HIT,1,0.5,0,0,1,1,1,1,0,4,0.5714285714285714,60.75129533678759,0.09412591149434422
0a1dad82,ETH,SHORT,2026-04-14T16:09:53.085013+00:00,2366.0,3.47923346,0.0074893070277762845,TARGET_HIT,1,0.55,0,0,1,0,1,0,0,2,0.2857142857142857,39.23402075060849,0.09412591149434422
457f4d35,ENJ,SHORT,2026-04-14T17:07:24.993717+00:00,0.053993,3.84032545,0.008055555555555517,TARGET_HIT,1,0.55,0,0.5,1,0,0.5,1,0.5,3.5,0.5,,0.08795602584410252
17c368b7,ZAMA,SHORT,2026-04-14T17:17:27.015104+00:00,0.0341,4.6736273,0.009090909090909026,TARGET_HIT,1,0.6,0,0.5,1,0,0.5,1,0.5,3.5,0.5,,0.08795602584410252
4f38fc4d,SOL,SHORT,2026-04-14T23:16:02.231473+00:00,83.61,-4.690000000000019,-0.001674440856356902,TIME_EXIT,0,0.68,0,0,1,0,1,0,1,3,0.42857142857142855,32.17522658610261,0.030689661980345447
9d36e60f,PENDLE,SHORT,2026-04-14T23:18:07.265097+00:00,1.046,-26.871472,-0.008795411089866038,STOP_LOSS,0,0.72,0,1,1,0,1,1,0,4,0.5714285714285714,36.607142857142826,0.030689661980345447
08a1cb88,XRP,SHORT,2026-04-14T23:39:51.812031+00:00,1.3624,15.618000000000105,0.005578391074574318,TIME_EXIT,1,0.65,0,0,0,0,1,0,1,2,0.2857142857142857,43.79014989293361,0.030689661980345447
8d62353a,ADA,SHORT,2026-04-15T00:06:43.457653+00:00,0.2405,13.971599999999754,0.004989604989604902,TIME_EXIT,1,0.67,0,1,0,0,1,0,1,3,0.42857142857142855,40.50632911392403,0.039857236468066784
cd476dc6,BNB,SHORT,2026-04-15T00:06:44.760301+00:00,615.4,-15.93072,-0.004874878128046799,STOP_LOSS,0,0.65,0,0,1,1,1,0,1,4,0.5714285714285714,48.436103663985776,0.039857236468066784
4971a4fa,PENDLE,SHORT,2026-04-15T02:13:21.617386+00:00,1.0502,2.411100000000329,0.0008569796229290829,TIME_EXIT,1,0.67,0,1,1,0,1,1,1,5,0.7142857142857143,35.65217391304354,0.041435752625869196
